epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,106.666,3.09778,3.87834,4.18714,0.00285,0.75246,0.00955,0.00287,2.67681,3.98364,4.09798,0.000653333,0.000653333,0.000653333
2,213.518,3.03058,3.62474,3.81643,0.04322,0.03079,0.01269,0.004,2.732,3.84726,4.37368,0.00130693,0.00130693,0.00130693
3,319.067,2.84121,3.48237,3.42932,0.00895,0.08744,0.00501,0.00166,3.01217,320.835,6.55031,0.00194733,0.00194733,0.00194733
4,429.286,2.7362,3.36601,3.26159,0.01095,0.08251,0.00739,0.00211,2.79048,23.2903,4.5832,0.0019406,0.0019406,0.0019406
5,539.393,2.60828,3.28572,3.17306,0.08991,0.12562,0.03904,0.01302,2.4245,8.18496,3.16419,0.0019208,0.0019208,0.0019208
6,649.096,2.56408,3.17746,3.16819,0.08788,0.12931,0.03292,0.01158,2.55854,13.9709,3.49249,0.001901,0.001901,0.001901
7,754.685,2.50038,3.12885,3.09245,0.14968,0.22783,0.10198,0.03969,2.25481,5.39088,3.05575,0.0018812,0.0018812,0.0018812
8,860.359,2.38929,3.00561,2.97478,0.27457,0.21921,0.15685,0.0647,2.21063,7.06199,2.95965,0.0018614,0.0018614,0.0018614
9,963.505,2.33601,2.90722,2.9196,0.18394,0.27463,0.14747,0.05686,2.2119,3.37664,2.92517,0.0018416,0.0018416,0.0018416
10,1069.56,2.29936,2.84376,2.87882,0.23893,0.27833,0.18797,0.07398,2.23015,4.17261,3.00745,0.0018218,0.0018218,0.0018218
11,1174.12,2.26307,2.77849,2.84731,0.24176,0.29926,0.20373,0.07827,2.16301,3.58946,2.88972,0.001802,0.001802,0.001802
12,1276.09,2.20738,2.69842,2.7854,0.30713,0.35591,0.26864,0.11311,2.10106,2.73402,2.81503,0.0017822,0.0017822,0.0017822
13,1376.18,2.17982,2.62134,2.75621,0.40146,0.39655,0.34828,0.13312,2.08273,2.74144,2.79556,0.0017624,0.0017624,0.0017624
14,1477.13,2.06625,2.48146,2.65887,0.45713,0.45628,0.4291,0.19258,1.92685,2.39713,2.66496,0.0017426,0.0017426,0.0017426
15,1578.25,2.05847,2.42855,2.66528,0.45488,0.43103,0.39833,0.17362,1.98937,2.97959,2.73469,0.0017228,0.0017228,0.0017228
16,1680.5,2.00692,2.36029,2.61427,0.44337,0.47783,0.40525,0.19221,1.84139,2.44543,2.56664,0.001703,0.001703,0.001703
17,1781.76,1.95604,2.30723,2.52793,0.49767,0.53196,0.46839,0.22055,1.8326,2.22791,2.51435,0.0016832,0.0016832,0.0016832
18,1894.3,1.93856,2.31683,2.51755,0.48297,0.48399,0.46137,0.21736,1.86751,2.20305,2.55415,0.0016634,0.0016634,0.0016634
19,2001.19,1.88268,2.21432,2.44829,0.43184,0.49877,0.45005,0.22271,1.77716,2.10416,2.45083,0.0016436,0.0016436,0.0016436
20,2104.11,1.86652,2.16663,2.42945,0.56751,0.51355,0.54016,0.26169,1.76333,2.08698,2.43192,0.0016238,0.0016238,0.0016238
